account_id,account_name,event_id,event_name,total_deposits
51,Organizador 51,7439,Evento 7439,0
36,Organizador 36,5154,Evento 5154,360
51,Organizador 51,594,Evento 594,300
51,Organizador 51,246,Evento 246,0
26,Organizador 26,458,Evento 458,0
26,Organizador 26,1375,Evento 1375,0
51,Organizador 51,300,Evento 300,22200
18,Organizador 18,10094,Evento 10094,2280000
18,Organizador 18,1508,Evento 1508,0
36,Organizador 36,5872,Evento 5872,0
51,Organizador 51,561,Evento 561,0
26,Organizador 26,14740,Evento 14740,0
51,Organizador 51,780,Evento 780,0
51,Organizador 51,328,Evento 328,0
24,Organizador 24,14744,Evento 14744,0
18,Organizador 18,5875,Evento 5875,250000
51,Organizador 51,5054,Evento 5054,0
26,Organizador 26,2420,Evento 2420,0
51,Organizador 51,5494,Evento 5494,0
51,Organizador 51,4729,Evento 4729,0
36,Organizador 36,1810,Evento 1810,0
18,Organizador 18,1608,Evento 1608,50200
26,Organizador 26,1760,Evento 1760,0
51,Organizador 51,872,Evento 872,0
18,Organizador 18,14437,Evento 14437,0
26,Organizador 26,9139,Evento 9139,15250
45,Organizador 45,197,Evento 197,154698
26,Organizador 26,732,Evento 732,0
51,Organizador 51,619,Evento 619,0
18,Organizador 18,6642,Evento 6642,0
51,Organizador 51,422,Evento 422,0
18,Organizador 18,10212,Evento 10212,0
26,Organizador 26,778,Evento 778,0
24,Organizador 24,244,Evento 244,0
51,Organizador 51,1050,Evento 1050,0
26,Organizador 26,521,Evento 521,0
51,Organizador 51,217,Evento 217,0
51,Organizador 51,395,Evento 395,0
36,Organizador 36,7205,Evento 7205,0
26,Organizador 26,2336,Evento 2336,0
51,Organizador 51,12762,Evento 12762,400
51,Organizador 51,494,Evento 494,2400
51,Organizador 51,842,Evento 842,0
51,Organizador 51,327,Evento 327,0
36,Organizador 36,519,Evento 519,0
26,Organizador 26,5046,Evento 5046,8800
18,Organizador 18,6337,Evento 6337,0
36,Organizador 36,8844,Evento 8844,6
51,Organizador 51,394,Evento 394,0
36,Organizador 36,14211,Evento 14211,0
51,Organizador 51,551,Evento 551,0
18,Organizador 18,15246,Evento 15246,0
51,Organizador 51,6996,Evento 6996,0
26,Organizador 26,311,Evento 311,200
18,Organizador 18,4656,Evento 4656,0
51,Organizador 51,953,Evento 953,0
26,Organizador 26,186,Evento 186,0
51,Organizador 51,6447,Evento 6447,400
51,Organizador 51,2085,Evento 2085,0
51,Organizador 51,3282,Evento 3282,0
36,Organizador 36,14746,Evento 14746,0
36,Organizador 36,1432,Evento 1432,0
36,Organizador 36,14384,Evento 14384,0
51,Organizador 51,6698,Evento 6698,0
36,Organizador 36,14535,Evento 14535,0
26,Organizador 26,10842,Evento 10842,0
51,Organizador 51,318,Evento 318,0
51,Organizador 51,393,Evento 393,0
18,Organizador 18,550,Evento 550,0
18,Organizador 18,11407,Evento 11407,0
51,Organizador 51,10324,Evento 10324,0
51,Organizador 51,540,Evento 540,0
51,Organizador 51,10392,Evento 10392,200
18,Organizador 18,3181,Evento 3181,130879
36,Organizador 36,7311,Evento 7311,0
51,Organizador 51,4801,Evento 4801,600
26,Organizador 26,11375,Evento 11375,0
26,Organizador 26,779,Evento 779,0
26,Organizador 26,6181,Evento 6181,0
18,Organizador 18,9558,Evento 9558,0
18,Organizador 18,15037,Evento 15037,0
51,Organizador 51,226,Evento 226,14950
51,Organizador 51,432,Evento 432,0
26,Organizador 26,13477,Evento 13477,0
51,Organizador 51,1351,Evento 1351,0
51,Organizador 51,1518,Evento 1518,74350
36,Organizador 36,1616,Evento 1616,0
24,Organizador 24,5181,Evento 5181,0
51,Organizador 51,9711,Evento 9711,0
18,Organizador 18,11360,Evento 11360,0
51,Organizador 51,5997,Evento 5997,0
51,Organizador 51,2095,Evento 2095,0
36,Organizador 36,10229,Evento 10229,109
26,Organizador 26,6018,Evento 6018,0
51,Organizador 51,565,Evento 565,0
18,Organizador 18,11029,Evento 11029,0
51,Organizador 51,4579,Evento 4579,0
51,Organizador 51,355,Evento 355,23400
51,Organizador 51,8852,Evento 8852,50
26,Organizador 26,14604,Evento 14604,0
26,Organizador 26,1754,Evento 1754,260
26,Organizador 26,6156,Evento 6156,0
26,Organizador 26,557,Evento 557,0
26,Organizador 26,10791,Evento 10791,0
51,Organizador 51,7316,Evento 7316,0
18,Organizador 18,9826,Evento 9826,0
36,Organizador 36,11784,Evento 11784,100
51,Organizador 51,3392,Evento 3392,0
51,Organizador 51,4779,Evento 4779,0
26,Organizador 26,13793,Evento 13793,0
51,Organizador 51,1878,Evento 1878,83000
18,Organizador 18,13450,Evento 13450,150
18,Organizador 18,5953,Evento 5953,0
36,Organizador 36,10481,Evento 10481,0
51,Organizador 51,7438,Evento 7438,0
51,Organizador 51,533,Evento 533,0
18,Organizador 18,6778,Evento 6778,0
24,Organizador 24,1414,Evento 1414,0
26,Organizador 26,6424,Evento 6424,0
26,Organizador 26,483,Evento 483,0
18,Organizador 18,8832,Evento 8832,0
26,Organizador 26,369,Evento 369,0
18,Organizador 18,14752,Evento 14752,0
51,Organizador 51,347,Evento 347,0
26,Organizador 26,1932,Evento 1932,0
51,Organizador 51,3238,Evento 3238,0
26,Organizador 26,13511,Evento 13511,0
26,Organizador 26,10878,Evento 10878,0
26,Organizador 26,559,Evento 559,0
36,Organizador 36,15606,Evento 15606,0
36,Organizador 36,4045,Evento 4045,45
45,Organizador 45,298,Evento 298,0
51,Organizador 51,2857,Evento 2857,8600
51,Organizador 51,2445,Evento 2445,0
26,Organizador 26,329,Evento 329,0
51,Organizador 51,1740,Evento 1740,0
26,Organizador 26,12619,Evento 12619,25
26,Organizador 26,461,Evento 461,63031
51,Organizador 51,2321,Evento 2321,0
26,Organizador 26,489,Evento 489,0
26,Organizador 26,593,Evento 593,0
51,Organizador 51,1570,Evento 1570,87800
51,Organizador 51,431,Evento 431,0
51,Organizador 51,601,Evento 601,18350
36,Organizador 36,7001,Evento 7001,0
18,Organizador 18,5487,Evento 5487,0
51,Organizador 51,15229,Evento 15229,0
26,Organizador 26,428,Evento 428,0
36,Organizador 36,15412,Evento 15412,0
51,Organizador 51,243,Evento 243,0
26,Organizador 26,1065,Evento 1065,0
51,Organizador 51,359,Evento 359,0
26,Organizador 26,464,Evento 464,50
18,Organizador 18,8382,Evento 8382,0
51,Organizador 51,310,Evento 310,0
26,Organizador 26,1047,Evento 1047,0
51,Organizador 51,293,Evento 293,0
51,Organizador 51,396,Evento 396,0
18,Organizador 18,11816,Evento 11816,0
18,Organizador 18,9309,Evento 9309,0
51,Organizador 51,320,Evento 320,0
18,Organizador 18,1645,Evento 1645,212
18,Organizador 18,9890,Evento 9890,0
51,Organizador 51,9003,Evento 9003,0
51,Organizador 51,507,Evento 507,150
51,Organizador 51,11125,Evento 11125,0
26,Organizador 26,490,Evento 490,0
36,Organizador 36,11648,Evento 11648,0
18,Organizador 18,6379,Evento 6379,0
51,Organizador 51,383,Evento 383,0
51,Organizador 51,581,Evento 581,0
18,Organizador 18,15540,Evento 15540,0
26,Organizador 26,664,Evento 664,0
51,Organizador 51,392,Evento 392,0
45,Organizador 45,299,Evento 299,7840
26,Organizador 26,8270,Evento 8270,0
24,Organizador 24,267,Evento 267,134000
36,Organizador 36,11965,Evento 11965,90
26,Organizador 26,9144,Evento 9144,0
36,Organizador 36,9527,Evento 9527,0
36,Organizador 36,10478,Evento 10478,0
51,Organizador 51,268,Evento 268,0
18,Organizador 18,13801,Evento 13801,4342
36,Organizador 36,1938,Evento 1938,0
51,Organizador 51,349,Evento 349,0
18,Organizador 18,4187,Evento 4187,0
51,Organizador 51,5248,Evento 5248,400
36,Organizador 36,8417,Evento 8417,4500
36,Organizador 36,15623,Evento 15623,0
18,Organizador 18,12058,Evento 12058,0
36,Organizador 36,5202,Evento 5202,0
18,Organizador 18,7116,Evento 7116,200
51,Organizador 51,430,Evento 430,19600
18,Organizador 18,1500,Evento 1500,0
36,Organizador 36,280,Evento 280,80
26,Organizador 26,160,Evento 160,
36,Organizador 36,15526,Evento 15526,0
26,Organizador 26,10512,Evento 10512,4955
26,Organizador 26,13769,Evento 13769,3000
51,Organizador 51,10353,Evento 10353,0
24,Organizador 24,12647,Evento 12647,1000
51,Organizador 51,272,Evento 272,0
24,Organizador 24,2029,Evento 2029,0
26,Organizador 26,8155,Evento 8155,0
36,Organizador 36,4392,Evento 4392,0
18,Organizador 18,12951,Evento 12951,0
18,Organizador 18,3489,Evento 3489,0
26,Organizador 26,13131,Evento 13131,0
18,Organizador 18,15063,Evento 15063,0
51,Organizador 51,452,Evento 452,0
51,Organizador 51,562,Evento 562,0
18,Organizador 18,9611,Evento 9611,0
26,Organizador 26,12734,Evento 12734,0
36,Organizador 36,10198,Evento 10198,0
26,Organizador 26,3848,Evento 3848,250
18,Organizador 18,3332,Evento 3332,0
36,Organizador 36,8838,Evento 8838,801
56,Organizador 56,390,Evento 390,0
51,Organizador 51,909,Evento 909,0
51,Organizador 51,384,Evento 384,0
18,Organizador 18,7839,Evento 7839,0
51,Organizador 51,1872,Evento 1872,0
18,Organizador 18,2894,Evento 2894,0
51,Organizador 51,1130,Evento 1130,0
26,Organizador 26,838,Evento 838,0
18,Organizador 18,5491,Evento 5491,0
26,Organizador 26,10240,Evento 10240,2150
36,Organizador 36,14857,Evento 14857,10
51,Organizador 51,11824,Evento 11824,0
36,Organizador 36,6507,Evento 6507,400
36,Organizador 36,2388,Evento 2388,0
36,Organizador 36,5956,Evento 5956,0
51,Organizador 51,473,Evento 473,0
36,Organizador 36,11287,Evento 11287,0
26,Organizador 26,7369,Evento 7369,1260
36,Organizador 36,14377,Evento 14377,0
18,Organizador 18,5355,Evento 5355,0
51,Organizador 51,10304,Evento 10304,0
36,Organizador 36,8809,Evento 8809,0
26,Organizador 26,1077,Evento 1077,25000
51,Organizador 51,276,Evento 276,0
26,Organizador 26,1736,Evento 1736,0
18,Organizador 18,9465,Evento 9465,0
51,Organizador 51,387,Evento 387,0
18,Organizador 18,15538,Evento 15538,0
45,Organizador 45,354,Evento 354,102045
51,Organizador 51,348,Evento 348,0
26,Organizador 26,10166,Evento 10166,0
51,Organizador 51,501,Evento 501,0
26,Organizador 26,5241,Evento 5241,20
36,Organizador 36,9898,Evento 9898,200
51,Organizador 51,10707,Evento 10707,200
18,Organizador 18,15592,Evento 15592,0
18,Organizador 18,8952,Evento 8952,0
26,Organizador 26,306,Evento 306,50
26,Organizador 26,10792,Evento 10792,0
36,Organizador 36,1808,Evento 1808,0
24,Organizador 24,10336,Evento 10336,9
18,Organizador 18,10767,Evento 10767,0
51,Organizador 51,610,Evento 610,0
26,Organizador 26,1412,Evento 1412,0
51,Organizador 51,503,Evento 503,23250
51,Organizador 51,4229,Evento 4229,0
51,Organizador 51,3224,Evento 3224,0
18,Organizador 18,6872,Evento 6872,0
36,Organizador 36,15185,Evento 15185,0
18,Organizador 18,11827,Evento 11827,0
18,Organizador 18,5066,Evento 5066,35293451
51,Organizador 51,2125,Evento 2125,34000
18,Organizador 18,3524,Evento 3524,0
51,Organizador 51,10937,Evento 10937,0
51,Organizador 51,6091,Evento 6091,0
51,Organizador 51,1250,Evento 1250,0
36,Organizador 36,6354,Evento 6354,0
26,Organizador 26,14325,Evento 14325,0
51,Organizador 51,3321,Evento 3321,0
51,Organizador 51,1153,Evento 1153,0
26,Organizador 26,569,Evento 569,16600
36,Organizador 36,1620,Evento 1620,0
36,Organizador 36,8611,Evento 8611,0
51,Organizador 51,13262,Evento 13262,200
26,Organizador 26,249,Evento 249,20
51,Organizador 51,6023,Evento 6023,0
26,Organizador 26,11298,Evento 11298,0
36,Organizador 36,435,Evento 435,0
18,Organizador 18,9163,Evento 9163,0
51,Organizador 51,382,Evento 382,0
24,Organizador 24,14562,Evento 14562,0
18,Organizador 18,9606,Evento 9606,0
51,Organizador 51,322,Evento 322,0
51,Organizador 51,491,Evento 491,2250
18,Organizador 18,9636,Evento 9636,0
36,Organizador 36,5719,Evento 5719,0
26,Organizador 26,6157,Evento 6157,0
51,Organizador 51,1124,Evento 1124,0
18,Organizador 18,11737,Evento 11737,0
18,Organizador 18,11632,Evento 11632,0
51,Organizador 51,560,Evento 560,0
18,Organizador 18,7367,Evento 7367,100
51,Organizador 51,1701,Evento 1701,0
36,Organizador 36,14472,Evento 14472,0
51,Organizador 51,2215,Evento 2215,0
18,Organizador 18,8903,Evento 8903,0
26,Organizador 26,493,Evento 493,0
36,Organizador 36,8012,Evento 8012,0
26,Organizador 26,566,Evento 566,0
51,Organizador 51,720,Evento 720,0
36,Organizador 36,11200,Evento 11200,0
36,Organizador 36,2900,Evento 2900,600
26,Organizador 26,401,Evento 401,360
18,Organizador 18,12742,Evento 12742,0
51,Organizador 51,240,Evento 240,0
18,Organizador 18,4084,Evento 4084,0
26,Organizador 26,12657,Evento 12657,0
51,Organizador 51,346,Evento 346,0
26,Organizador 26,1759,Evento 1759,0
51,Organizador 51,6057,Evento 6057,0
51,Organizador 51,10900,Evento 10900,200
36,Organizador 36,4538,Evento 4538,123
24,Organizador 24,15070,Evento 15070,0
51,Organizador 51,504,Evento 504,0
18,Organizador 18,14940,Evento 14940,2800
26,Organizador 26,6179,Evento 6179,0
26,Organizador 26,15034,Evento 15034,0
51,Organizador 51,576,Evento 576,0
24,Organizador 24,6335,Evento 6335,98
51,Organizador 51,612,Evento 612,0
18,Organizador 18,15007,Evento 15007,0
51,Organizador 51,621,Evento 621,0
36,Organizador 36,7535,Evento 7535,0
26,Organizador 26,1764,Evento 1764,0
51,Organizador 51,574,Evento 574,0
18,Organizador 18,5959,Evento 5959,214324
36,Organizador 36,2195,Evento 2195,5100
26,Organizador 26,1496,Evento 1496,0
56,Organizador 56,1896,Evento 1896,14500000
36,Organizador 36,211,Evento 211,0
51,Organizador 51,889,Evento 889,0
51,Organizador 51,7529,Evento 7529,200
36,Organizador 36,14879,Evento 14879,0
18,Organizador 18,12401,Evento 12401,0
18,Organizador 18,3829,Evento 3829,0
36,Organizador 36,174,Evento 174,
26,Organizador 26,11211,Evento 11211,28000
36,Organizador 36,5356,Evento 5356,0
26,Organizador 26,14470,Evento 14470,0
36,Organizador 36,14579,Evento 14579,295
26,Organizador 26,10932,Evento 10932,0
51,Organizador 51,277,Evento 277,0
51,Organizador 51,1879,Evento 1879,0
26,Organizador 26,945,Evento 945,0
26,Organizador 26,9100,Evento 9100,0
26,Organizador 26,531,Evento 531,540000
26,Organizador 26,1506,Evento 1506,60
51,Organizador 51,5860,Evento 5860,0
36,Organizador 36,208,Evento 208,0
51,Organizador 51,528,Evento 528,0
36,Organizador 36,166,Evento 166,
36,Organizador 36,8854,Evento 8854,0
51,Organizador 51,2110,Evento 2110,0
51,Organizador 51,301,Evento 301,15150
26,Organizador 26,367,Evento 367,0
26,Organizador 26,454,Evento 454,0
36,Organizador 36,13077,Evento 13077,102
45,Organizador 45,239,Evento 239,0
24,Organizador 24,128,Evento 128,0
26,Organizador 26,5157,Evento 5157,335
26,Organizador 26,3176,Evento 3176,0
18,Organizador 18,4390,Evento 4390,210
36,Organizador 36,7536,Evento 7536,180
24,Organizador 24,11652,Evento 11652,5000
51,Organizador 51,5620,Evento 5620,400
18,Organizador 18,3990,Evento 3990,0
45,Organizador 45,289,Evento 289,0
36,Organizador 36,14858,Evento 14858,295
18,Organizador 18,14696,Evento 14696,0
36,Organizador 36,13313,Evento 13313,0
51,Organizador 51,363,Evento 363,0
24,Organizador 24,4453,Evento 4453,0
36,Organizador 36,7395,Evento 7395,20000
51,Organizador 51,537,Evento 537,0
51,Organizador 51,9183,Evento 9183,200
51,Organizador 51,326,Evento 326,0
51,Organizador 51,495,Evento 495,0
51,Organizador 51,11837,Evento 11837,0
18,Organizador 18,2895,Evento 2895,0
26,Organizador 26,11290,Evento 11290,21012
18,Organizador 18,3874,Evento 3874,0
36,Organizador 36,15208,Evento 15208,0
26,Organizador 26,10543,Evento 10543,0
26,Organizador 26,746,Evento 746,0
36,Organizador 36,11904,Evento 11904,0
51,Organizador 51,782,Evento 782,25050
51,Organizador 51,426,Evento 426,0
18,Organizador 18,15196,Evento 15196,0
51,Organizador 51,259,Evento 259,0
18,Organizador 18,1916,Evento 1916,0
56,Organizador 56,222,Evento 222,8525
26,Organizador 26,6095,Evento 6095,0
18,Organizador 18,10417,Evento 10417,36131200
51,Organizador 51,5160,Evento 5160,0
26,Organizador 26,11474,Evento 11474,0
36,Organizador 36,184,Evento 184,
51,Organizador 51,539,Evento 539,0
18,Organizador 18,3893,Evento 3893,0
51,Organizador 51,4153,Evento 4153,0
18,Organizador 18,4738,Evento 4738,0
51,Organizador 51,377,Evento 377,0
26,Organizador 26,14456,Evento 14456,0
51,Organizador 51,538,Evento 538,0
51,Organizador 51,439,Evento 439,0
51,Organizador 51,1941,Evento 1941,0
36,Organizador 36,13463,Evento 13463,0
36,Organizador 36,14698,Evento 14698,0
36,Organizador 36,1246,Evento 1246,0
56,Organizador 56,221,Evento 221,692547
36,Organizador 36,11634,Evento 11634,0
36,Organizador 36,12953,Evento 12953,0
18,Organizador 18,11887,Evento 11887,0
36,Organizador 36,6491,Evento 6491,200
51,Organizador 51,356,Evento 356,0
24,Organizador 24,1840,Evento 1840,0
26,Organizador 26,1757,Evento 1757,0
26,Organizador 26,10162,Evento 10162,0
51,Organizador 51,344,Evento 344,0
26,Organizador 26,678,Evento 678,0
26,Organizador 26,450,Evento 450,0
26,Organizador 26,613,Evento 613,0
26,Organizador 26,716,Evento 716,0
51,Organizador 51,5717,Evento 5717,0
18,Organizador 18,3944,Evento 3944,0
18,Organizador 18,5331,Evento 5331,0
36,Organizador 36,7442,Evento 7442,300
26,Organizador 26,236,Evento 236,600
36,Organizador 36,12338,Evento 12338,300
26,Organizador 26,7932,Evento 7932,0
26,Organizador 26,350,Evento 350,0
18,Organizador 18,351,Evento 351,0
18,Organizador 18,710,Evento 710,0
36,Organizador 36,3124,Evento 3124,200
51,Organizador 51,3881,Evento 3881,0
36,Organizador 36,1449,Evento 1449,0
51,Organizador 51,4728,Evento 4728,0
26,Organizador 26,5794,Evento 5794,0
51,Organizador 51,817,Evento 817,0
26,Organizador 26,585,Evento 585,0
18,Organizador 18,7694,Evento 7694,0
26,Organizador 26,484,Evento 484,155
26,Organizador 26,699,Evento 699,12
51,Organizador 51,2858,Evento 2858,7800
51,Organizador 51,440,Evento 440,0
18,Organizador 18,10339,Evento 10339,1100
18,Organizador 18,5187,Evento 5187,5000
51,Organizador 51,4554,Evento 4554,0
36,Organizador 36,1517,Evento 1517,0
51,Organizador 51,5303,Evento 5303,0
26,Organizador 26,14748,Evento 14748,0
51,Organizador 51,523,Evento 523,600
51,Organizador 51,509,Evento 509,0
51,Organizador 51,6895,Evento 6895,0
51,Organizador 51,482,Evento 482,0
18,Organizador 18,6779,Evento 6779,0
18,Organizador 18,1638,Evento 1638,64
36,Organizador 36,14071,Evento 14071,10
36,Organizador 36,8635,Evento 8635,600
36,Organizador 36,212,Evento 212,33
26,Organizador 26,499,Evento 499,0
36,Organizador 36,12949,Evento 12949,0
51,Organizador 51,1592,Evento 1592,0
51,Organizador 51,385,Evento 385,0
18,Organizador 18,266,Evento 266,0
26,Organizador 26,6096,Evento 6096,0
36,Organizador 36,14775,Evento 14775,0
18,Organizador 18,13338,Evento 13338,0
51,Organizador 51,3820,Evento 3820,0
26,Organizador 26,313,Evento 313,13835
24,Organizador 24,11649,Evento 11649,720000
51,Organizador 51,1222,Evento 1222,0
26,Organizador 26,835,Evento 835,2994
24,Organizador 24,159,Evento 159,0
